Local Time,Unix Time (s),ouPresentCompressorFreq,ouTemperatureOutdoor,iuAirFlowRate,tabTsense0,humidityIndoor.0,Liq. T.,Suc. T.,ouCompressorCurrent,ouInputVoltage,ouInputCurrent,Unnamed: 12,OAT Shade T.,iuDAT,Unix Time (s).1,Dis. P.,Liq. P.,Suc. P.,NC P.,Dis. T.,Liq. T..1,Suc. T..1,Sump T.,OAT Shade T..1,OAT Sun T.,Cond Bend 2,Cond Bend 9,Cond Bend 20,Cond Bend 26,Cond Bend 58,Cond Bend 75,Sat. Dis. T.,Sat. Liq. T.,Sat. Suc. T.,Dis. Super Heat,Liq. Subcool,Suc. Super Heat,Torque (Input),RPM (FB),Mech P.,Average P.,Motor Eff (Calc),CFM (Calc),Static (Calc),SC_average,SH_average,Suction,Liquid,Comp Count,SH Smooth,Count,Baseline_SC,σ,Fault_1,Fault_2,CFM,Persistence1,Persistence2,Counter,iuDAT_filled,SensibleCapacity,Predicted Comp. Power,Actual Comp. Power,IDWB,Predict Sensible Capacity,ST_Ratio,Predict Comp. Power from Compressor Map
2018-07-12 04:45:00,1531389390.0,11.333333333333334,79.58333333333333,288.5,74.01666666666665,54.166666666666664,79.25365789166666,65.21149336666667,3.4915,167.33333333333334,2.3996666666666666,,81.50295291833332,60.33333333333332,1531389390.0,243.72414690000005,240.88263325000003,181.13883321666665,-82.57260847,102.11935004666667,79.25365789166666,65.21149336666667,77.29598646000001,81.50295291833332,81.054980425,81.13705132333334,81.35567661833335,80.11371641500001,80.387507325,79.70940234500002,80.63829845166667,82.04090713,81.3607994,62.58395418166666,20.078442910000003,2.10714151,2.627539184166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3113911683333332,0.9018532433333334,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.33333333333332,3498.9566831666666,531.7140233333333,585.6666666666666,62.96460195666666,6109.333333333333,0.0,556.1977953333334
2018-07-12 05:00:00,1531390020.0,11.8,82.08666666666666,230.8,73.88666666666667,54.3,84.64967442999999,65.00265152333333,4.053933333333333,251.46666666666667,2.7666666666666666,,82.75216972866666,53.37333333333333,1531390020.0,266.1802330466666,264.30475834000003,142.92932896,-82.48007473066667,103.374125092,84.64967442999999,65.00265152333333,61.14447886533332,82.75216972866666,80.98350660933332,86.61743028800001,86.83727817733333,86.08864778733333,86.46398444066666,85.69378006400001,86.25440943066666,88.18632406466666,87.72766013733332,49.70018747333334,15.187801026,3.0779857075333337,15.302464053666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.026105955733333,13.352570379799998,1.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.37333333333333,6081.5199504,540.4979257000001,658.0033999999999,62.891013954666654,6687.133333333333,0.0,571.73743416
2018-07-12 05:15:00,1531390920.0,12.6,81.54666666666665,230.8,73.89333333333335,54.266666666666666,84.13645680133335,65.50096410200001,4.0507333333333335,251.13333333333333,2.6857333333333333,,82.58220846733334,51.08,1531390920.0,263.37739926000006,261.4157211533333,138.77965537333333,-82.51554866533333,114.91327497200001,84.13645680133335,65.50096410200001,66.306881852,82.58220846733334,80.62387596266667,85.82062896133333,86.34841388400001,85.34072718933334,85.555604504,85.315564248,85.54356641999998,87.49615313133333,87.00825537533333,48.09032724400001,27.417121851999998,2.8717985756666664,17.410636858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9499373796,17.825432805333328,1.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.08,6735.491616666667,585.3004857333333,644.1496666666666,62.88771621599999,7007.6,0.0,606.8228602
2018-07-12 05:30:00,1531391820.0,12.333333333333334,81.17333333333335,262.8,73.91333333333334,53.9,83.68253050533332,66.244180606,4.0195333333333325,250.66666666666666,2.706466666666666,,82.52969689400001,51.07333333333333,1531391820.0,261.98970943333336,260.25554102666666,139.99916079333335,-82.51761367800002,117.37080425933331,83.68253050533332,66.244180606,71.50402785733333,82.52969689400001,80.49433846533334,85.49370475266664,86.00344536933335,84.99152119733331,85.27858970400001,84.86311498600001,85.03200587066667,87.12864811133336,86.69959792533331,48.55359192199999,30.242156140000002,3.017067421333333,17.69058868466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.047755602866667,17.898196011333333,1.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.07333333333333,6589.701754666667,564.9532901999999,641.6666666666666,62.80486188333334,7013.333333333333,0.0,595.6757025999999
2018-07-12 05:45:00,1531392720.0,10.533333333333333,81.29333333333334,224.33333333333334,73.97333333333334,53.96666666666667,84.160415328,64.91365764933333,3.449466666666667,250.66666666666666,2.3931999999999998,,82.55969718,51.02666666666667,1531392720.0,264.09572994666667,261.99144508,138.74534494000002,-82.51757312266666,119.21492626666668,84.160415328,64.91365764933333,74.52811696266667,82.55969718,80.36566783133335,85.95941208733333,86.45813024466666,85.46377035466666,85.76354038533331,85.26898688333334,85.498888116,87.66487743533334,87.14445275066667,48.04514165399999,31.550048835333335,2.9840374183333327,16.868516000666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0086784863333333,16.957389749333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.02666666666667,5827.429048666668,487.5408872,560.0333333333333,62.87389248666667,5890.866666666667,0.0,517.6432864666666
2018-07-12 06:00:00,1531393620.0,10.6,81.46000000000001,225.0,73.97333333333333,54.06666666666667,83.93046147599999,67.46314125666667,3.4367333333333336,250.8,2.3462666666666663,,82.66684485666669,51.68,1531393620.0,262.08270708666663,260.50045953333336,142.1329374466667,-82.48982638199999,118.540110228,83.93046147599999,67.46314125666667,76.102522314,82.66684485666669,80.33327477933332,85.65071707533333,86.052622096,85.18775618399998,85.41213025800002,84.99522159466665,85.12130745133335,87.15672321400001,86.76544728333332,49.41885914399999,31.383387026,2.8349858063333335,18.044282113333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8591450598,18.045807294666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.68,5569.172722,497.1281796666666,552.1132666666667,62.90082875666666,5892.4,0.0,516.9586184666666
2018-07-12 06:15:00,1531394520.0,9.733333333333333,81.64666666666668,225.66666666666666,74.02000000000001,53.86666666666667,84.05903657133332,67.725575136,3.3461333333333334,253.0,2.3194,,82.90926784266668,52.21333333333334,1531394520.0,262.97273265333337,261.18977835999993,143.07069830666669,-82.47218006666668,118.42528223333332,84.05903657133332,67.725575136,77.44966342733332,82.90926784266668,80.63477037133333,85.94704368133333,86.29797183266666,85.395907204,85.59647618866667,85.16466415199999,85.25876363266666,87.381207228,86.93940330533333,49.79497287733333,31.044075008666667,2.880366733,17.930602260666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8413635195999993,17.710886474666665,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.21333333333334,5290.089272,439.86101082666664,551.8898,62.886045579333334,5610.066666666667,0.0,472.15752788000003
2018-07-12 06:30:00,1531395420.0,10.6,81.90666666666668,192.33333333333334,74.0,53.93333333333333,84.29226123666668,68.00978677266667,3.432533333333333,251.46666666666667,2.392866666666666,,83.21536345333334,52.14,1531395420.0,264.5397905666666,262.6454186933333,142.48333605333335,-82.474084968,118.97781968666668,84.29226123666668,68.00978677266667,78.33435481066665,83.21536345333334,80.85956481800002,86.22465140533335,86.62122441466666,85.63487187866667,85.83214349733332,85.46209744933334,85.50505001266666,87.77949114799999,87.31034212333334,49.56442000733333,31.198328532666665,3.0180808872000005,18.445366767333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.023696011133333,18.336810645333337,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14,5694.135460666666,496.64065839999995,563.8966,62.886979872666664,5878.866666666667,0.0,519.7989075333334
2018-07-12 06:45:00,1531396320.0,10.666666666666666,82.14666666666669,192.33333333333334,73.92666666666668,54.03333333333333,84.38114315600001,68.54521877799999,3.4838000000000005,250.86666666666667,2.379266666666666,,83.27886845066668,52.47333333333333,1531396320.0,264.40049946666664,262.5688045866667,143.09834193333333,-82.49193247466668,119.16946112666668,84.38114315600001,68.54521877799999,79.13306053266665,83.27886845066668,80.78940027533334,86.22209219133332,86.63895272733333,85.66591039933334,85.90797490666665,85.53019579333335,85.56910827,87.74329867,87.290481502,49.808563066,31.42616246,2.9093383476666665,18.736655714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9263603392666666,18.629571157999997,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.47333333333333,5444.209983333334,503.6383920666666,559.95,62.852771151999995,5881.066666666667,0.0,522.1947403333335
2018-07-12 07:00:00,1531397220.0,10.333333333333334,82.34666666666666,192.33333333333334,73.9,53.9,84.57492840666666,68.59036395133333,3.3716666666666666,251.06666666666666,2.332666666666666,,83.32810229533334,52.553333333333335,1531397220.0,265.3300761866667,263.45283404,143.15485601333333,-82.48471381533334,119.18180632000002,84.57492840666666,68.59036395133333,79.676367498,83.32810229533334,81.02693939133333,86.47788277066667,86.86354943533334,85.94600556,86.09227771,85.7155602346667,85.76033088599999,87.97617935800001,87.51333717466666,49.837825697999996,31.205626974666675,2.938408768333333,18.752538256666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9303278416,18.60883605933333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.553333333333335,5260.9313,487.6370579333333,552.2,62.794135569999995,5753.866666666667,0.0,504.23851446666663
